net,length_um
net1132,76.72µm
U_rf0.rd\[3\]\[11\],76.68µm
net1792,76.635µm
_1471_,76.54µm
net2939,76.54µm
U_rf0.rd\[4\]\[23\],76.48µm
pc\[4\],76.48µm
net101,76.45µm
net2127,76.24µm
net1678,76.18µm
net1727,76.16µm
net1403,76.06µm
net2378,76.02µm
_2931_,76µm
_1897_,75.99µm
_1296_,75.6µm
_1095_,75.38µm
pc\[1\],75.38µm
net1441,75.2µm
_0040_,74.91µm
_1559_,74.62µm
u_wm0.u_dm.data_mem\[2\]\[19\],74.46µm
U_rf0.rd\[1\]\[15\],74.44µm
net1749,74.415µm
_1982_,74.36µm
u_wm0.u_dm.data_mem\[7\]\[27\],74.28µm
net1757,74.255µm
net2012,74.2µm
U_rf0.rd\[2\]\[25\],74.14µm
_1853_,73.98µm
net2033,73.92µm
net1150,73.88µm
net1152,73.56µm
net1119,73.4µm
u_wm0.u_dm.data_mem\[15\]\[12\],73.32µm
net1472,73.22µm
_1272_,73.18µm
_1670_,72.98µm
net1851,72.64µm
net1144,72.55µm
net1652,72.28µm
U_rf0.rd\[3\]\[29\],72.26µm
U_rf0.rd\[5\]\[8\],72.26µm
U_rf0.rd\[6\]\[1\],72.14µm
net2708,72.03µm
net1639,72.01µm
U_rf0.rd\[7\]\[10\],72µm
net1143,72µm
net1541,71.94µm
net1399,71.82µm
_2962_,71.79µm
net1561,71.7µm
net1701,71.67µm
_3020_,71.62µm
U_rf0.rd\[2\]\[28\],71.54µm
U_rf0.rd\[3\]\[2\],71.5µm
net2024,71.45µm
net1736,71.42µm
net2704,71.38µm
net2625,71.36µm
net1708,71.34µm
net2025,71.24µm
_1200_,71.16µm
net1324,71.14µm
u_wm0.u_dm.data_mem\[13\]\[20\],71.07µm
_1160_,70.985µm
_1448_,70.87µm
_2942_,70.84µm
net2174,70.81µm
net1387,70.745µm
U_rf0.rd\[5\]\[5\],70.7µm
_2939_,70.67µm
_1851_,70.66µm
net1398,70.51µm
net2182,70.42µm
net1730,70.38µm
u_wm0.u_dm.data_mem\[5\]\[25\],70.36µm
U_rf0.rd\[7\]\[0\],70.315µm
